CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
40372196,MCDONALD'S,BRONX,3660,EAST TREMONT AVENUE,10465,7188281430,Hamburgers,01/22/2019,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,,,04/21/2019,Cycle Inspection / Initial Inspection
40372196,MCDONALD'S,BRONX,3660,EAST TREMONT AVENUE,10465,7188281430,Hamburgers,01/22/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,,,04/21/2019,Cycle Inspection / Initial Inspection
40372196,MCDONALD'S,BRONX,3660,EAST TREMONT AVENUE,10465,7188281430,Hamburgers,02/04/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,02/04/2019,04/21/2019,Cycle Inspection / Re-inspection
40372196,MCDONALD'S,BRONX,3660,EAST TREMONT AVENUE,10465,7188281430,Hamburgers,02/04/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,02/04/2019,04/21/2019,Cycle Inspection / Re-inspection
40372196,MCDONALD'S,BRONX,3660,EAST TREMONT AVENUE,10465,7188281430,Hamburgers,02/14/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,43,,,04/21/2019,Cycle Inspection / Initial Inspection
40372196,MCDONALD'S,BRONX,3660,EAST TREMONT AVENUE,10465,7188281430,Hamburgers,02/14/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,43,,,04/21/2019,Cycle Inspection / Initial Inspection
40372196,MCDONALD'S,BRONX,3660,EAST TREMONT AVENUE,10465,7188281430,Hamburgers,02/14/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,43,,,04/21/2019,Cycle Inspection / Initial Inspection
40372196,MCDONALD'S,BRONX,3660,EAST TREMONT AVENUE,10465,7188281430,Hamburgers,02/14/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,43,,,04/21/2019,Cycle Inspection / Initial Inspection
40372196,MCDONALD'S,BRONX,3660,EAST TREMONT AVENUE,10465,7188281430,Hamburgers,04/16/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,9,A,04/16/2018,04/21/2019,Cycle Inspection / Re-inspection
40372196,MCDONALD'S,BRONX,3660,EAST TREMONT AVENUE,10465,7188281430,Hamburgers,04/16/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A,04/16/2018,04/21/2019,Cycle Inspection / Re-inspection
40372196,MCDONALD'S,BRONX,3660,EAST TREMONT AVENUE,10465,7188281430,Hamburgers,05/18/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,A,05/18/2016,04/21/2019,Cycle Inspection / Initial Inspection
40372196,MCDONALD'S,BRONX,3660,EAST TREMONT AVENUE,10465,7188281430,Hamburgers,05/18/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,05/18/2016,04/21/2019,Cycle Inspection / Initial Inspection
40372196,MCDONALD'S,BRONX,3660,EAST TREMONT AVENUE,10465,7188281430,Hamburgers,07/18/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,6,,,04/21/2019,Cycle Inspection / Initial Inspection
40372196,MCDONALD'S,BRONX,3660,EAST TREMONT AVENUE,10465,7188281430,Hamburgers,08/17/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,A,08/17/2017,04/21/2019,Cycle Inspection / Re-inspection
40372196,MCDONALD'S,BRONX,3660,EAST TREMONT AVENUE,10465,7188281430,Hamburgers,08/17/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7,A,08/17/2017,04/21/2019,Cycle Inspection / Re-inspection
40372196,MCDONALD'S,BRONX,3660,EAST TREMONT AVENUE,10465,7188281430,Hamburgers,08/28/2018,Violations were cited in the following area(s).,04D,"Food worker does not wash hands thoroughly after using the toilet, coughing, sneezing, smoking, eating, preparing raw foods or otherwise contaminating hands.",Critical,15,,,04/21/2019,Cycle Inspection / Initial Inspection
40372196,MCDONALD'S,BRONX,3660,EAST TREMONT AVENUE,10465,7188281430,Hamburgers,08/28/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,15,,,04/21/2019,Cycle Inspection / Initial Inspection
40372196,MCDONALD'S,BRONX,3660,EAST TREMONT AVENUE,10465,7188281430,Hamburgers,09/13/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,09/13/2018,04/21/2019,Cycle Inspection / Re-inspection
40372196,MCDONALD'S,BRONX,3660,EAST TREMONT AVENUE,10465,7188281430,Hamburgers,09/13/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,09/13/2018,04/21/2019,Cycle Inspection / Re-inspection
40372196,MCDONALD'S,BRONX,3660,EAST TREMONT AVENUE,10465,7188281430,Hamburgers,09/13/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,09/13/2018,04/21/2019,Cycle Inspection / Re-inspection
40372196,MCDONALD'S,BRONX,3660,EAST TREMONT AVENUE,10465,7188281430,Hamburgers,12/20/2016,Violations were cited in the following area(s).,22A,"Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical,,,,04/21/2019,Administrative Miscellaneous / Initial Inspection
40391639,MCDONALD'S,BRONX,85,BRUCKNER BOULEVARD,10454,7185858368,Hamburgers,02/09/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,02/09/2017,04/21/2019,Cycle Inspection / Initial Inspection
40391639,MCDONALD'S,BRONX,85,BRUCKNER BOULEVARD,10454,7185858368,Hamburgers,02/09/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,02/09/2017,04/21/2019,Cycle Inspection / Initial Inspection
40391639,MCDONALD'S,BRONX,85,BRUCKNER BOULEVARD,10454,7185858368,Hamburgers,03/09/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,03/09/2018,04/21/2019,Cycle Inspection / Initial Inspection
40391639,MCDONALD'S,BRONX,85,BRUCKNER BOULEVARD,10454,7185858368,Hamburgers,03/21/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,03/21/2019,04/21/2019,Cycle Inspection / Initial Inspection
40395653,MCDONALD'S,BRONX,300,EAST  204 STREET,10467,7186531387,Hamburgers,01/07/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,12,A,01/07/2019,04/21/2019,Cycle Inspection / Initial Inspection
40395653,MCDONALD'S,BRONX,300,EAST  204 STREET,10467,7186531387,Hamburgers,01/07/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,01/07/2019,04/21/2019,Cycle Inspection / Initial Inspection
40395653,MCDONALD'S,BRONX,300,EAST  204 STREET,10467,7186531387,Hamburgers,01/25/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,6,A,01/25/2016,04/21/2019,Cycle Inspection / Initial Inspection
40395653,MCDONALD'S,BRONX,300,EAST  204 STREET,10467,7186531387,Hamburgers,01/25/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6,A,01/25/2016,04/21/2019,Cycle Inspection / Initial Inspection
40395653,MCDONALD'S,BRONX,300,EAST  204 STREET,10467,7186531387,Hamburgers,04/13/2017,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,20,,,04/21/2019,Cycle Inspection / Initial Inspection
40395653,MCDONALD'S,BRONX,300,EAST  204 STREET,10467,7186531387,Hamburgers,04/13/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,20,,,04/21/2019,Cycle Inspection / Initial Inspection
40395653,MCDONALD'S,BRONX,300,EAST  204 STREET,10467,7186531387,Hamburgers,04/13/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,20,,,04/21/2019,Cycle Inspection / Initial Inspection
40395653,MCDONALD'S,BRONX,300,EAST  204 STREET,10467,7186531387,Hamburgers,04/13/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,20,,,04/21/2019,Cycle Inspection / Initial Inspection
40395653,MCDONALD'S,BRONX,300,EAST  204 STREET,10467,7186531387,Hamburgers,05/05/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,13,A,05/05/2017,04/21/2019,Cycle Inspection / Re-inspection
40395653,MCDONALD'S,BRONX,300,EAST  204 STREET,10467,7186531387,Hamburgers,05/05/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,05/05/2017,04/21/2019,Cycle Inspection / Re-inspection
40395653,MCDONALD'S,BRONX,300,EAST  204 STREET,10467,7186531387,Hamburgers,12/28/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,12/28/2017,04/21/2019,Cycle Inspection / Initial Inspection
40395653,MCDONALD'S,BRONX,300,EAST  204 STREET,10467,7186531387,Hamburgers,12/28/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,12/28/2017,04/21/2019,Cycle Inspection / Initial Inspection
40395653,MCDONALD'S,BRONX,300,EAST  204 STREET,10467,7186531387,Hamburgers,12/28/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,12/28/2017,04/21/2019,Cycle Inspection / Initial Inspection
40395992,MCDONALD'S,BRONX,2516,WHITE PLAINS ROAD,10467,7188827541,Hamburgers,06/18/2018,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11,A,06/18/2018,04/21/2019,Cycle Inspection / Initial Inspection
40395992,MCDONALD'S,BRONX,2516,WHITE PLAINS ROAD,10467,7188827541,Hamburgers,06/18/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,11,A,06/18/2018,04/21/2019,Cycle Inspection / Initial Inspection
40395992,MCDONALD'S,BRONX,2516,WHITE PLAINS ROAD,10467,7188827541,Hamburgers,06/18/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,06/18/2018,04/21/2019,Cycle Inspection / Initial Inspection
40395992,MCDONALD'S,BRONX,2516,WHITE PLAINS ROAD,10467,7188827541,Hamburgers,07/24/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,11,A,07/24/2015,04/21/2019,Cycle Inspection / Initial Inspection
